Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Costa P., Blowes L.M., Laly A.C., Connelly J.T.",Regulation of collective cell polarity and migration using dynamically adhesive micropatterned substrates,,,2021,126,1,291-300,,2,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Wrenn E.D., Yamamoto A., Moore B.M., Huang Y., McBirney M., Thomas A.J., Greenwood E., Rabena Y.F., Rahbar H., Partridge S.C., Cheung K.J.",Regulation of Collective Metastasis by Nanolumenal Signaling,,,2020,183,2,395-410,,21,,Cell,Cell Press,,,,,Article
"Alonso F., Spuul P., Decossas M., Egaña I., Curado F., Fremaux I., Daubon T., Génot E.",Regulation of podosome formation in aortic endothelial cells vessels by physiological extracellular cues,,,2020,99,4,,,1,,European Journal of Cell Biology,Elsevier GmbH,,,,,Article
"Myat M.M., Louis D., Mavrommatis A., Collins L., Mattis J., Ledru M., Verghese S., Su T.T.",Regulators of cell movement during development and regeneration in Drosophila,,,2019,9,5,,,7,,Open Biology,Royal Society Publishing,,,,,Article
"Karaiwa A., Yamada S., Yamamoto H., Wakasa M., Ishijima H., Akiyama R., Hosokawa Y., Bessho Y., Matsui T.",Relationship between surrounding tissue morphology and directional collective migration of the posterior lateral line primordium in zebrafish,,,2020,25,8,582-592,,0,,Genes to Cells,Blackwell Publishing Ltd,,,,,Article
"Suveges S., Eftimie R., Trucu D.",Re-polarisation of Macrophages Within Collective Tumour Cell Migration: A Multiscale Moving Boundary Approach,,,2022,7,1,,,0,,Frontiers in Applied Mathematics and Statistics,Frontiers Media S.A.,,,,,Article
"Yokoyama M., Senoo M., Kage A., Mogami Y.",Responses of Bioconvection of Tetrahymena thermophila to Partial Gravity Created by Aircraft Flight,,,2019,36,2,159-166,,0,,Zoological Science,Zoological Society of Japan,,,,,Article
"Gu S., Liu Y., Zou J., Wang W., Wei T., Wang X., Zhu L., Zhang M., Zhu J., Xie T., Yao Y., Qiu L.",Retinal pigment epithelial cells secrete miR-202-5p-containing exosomes to protect against proliferative diabetic retinopathy,,,2020,201,1,,,11,,Experimental Eye Research,Academic Press,,,,,Article
"Ishii M., Tateya T., Matsuda M., Hirashima T.",Retrograde erk activation waves drive base-to-apex multicellular flow in murine cochlear duct morphogenesis,,,2021,10,1,,,8,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Chojowski R., Schwarz U.S., Ziebert F.",Reversible elastic phase field approach and application to cell monolayers,,,2020,43,10,,,0,,European Physical Journal E,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Kang A.-R., Cho J.H., Lee N.-G., Song J.-Y., Hwang S.-G., Lee D.-H., Um H.-D., Park J.K.",RIP1 is a novel component of γ-ionizing radiation-induced invasion of non-small cell lung cancer cells,,,2020,21,13,,,4,,International Journal of Molecular Sciences,MDPI AG,,,,,Article
"Pang Y., Yang J., Hui Z., Grottkau B. E.",Robotic Patterning a Superhydrophobic Surface for Collective Cell Migration Screening,,,2018,24,4,205-213,,5,,Tissue Engineering - Part C: Methods,Mary Ann Liebert Inc.,,,,,Article
"Libanje F., Raingeaud J., Luan R., Thomas Z., Zajac O., Veiga J., Marisa L., Adam J., Boige V., Malka D., Goéré D., Hall A., Soazec J.-Y., Prall F., Gelli M., Dartigues P., Jaulin F.",ROCK2 inhibition triggers the collective invasion of colorectal adenocarcinomas,,,2019,38,14,,,27,,EMBO Journal,Wiley-VCH Verlag,,,,,Article
"Bajpai S., Prabhakar R., Chelakkot R., Inamdar M.M.",Role of cell polarity dynamics and motility in pattern formation due to contact-dependent signalling,,,2021,18,175,,,1,,Journal of the Royal Society Interface,Royal Society Publishing,,,,,Article
"Alert R., Casademunt J.",Role of Substrate Stiffness in Tissue Spreading: Wetting Transition and Tissue Durotaxis,,,2019,35,23,7571-7577,,13,,Langmuir,American Chemical Society,,,,,Article
"Liu Y., Cheng J., Yang H., Xu G.-K.",Rotational constraint contributes to collective cell durotaxis,,,2020,117,21,,,1,,Applied Physics Letters,American Institute of Physics Inc.,,,,,Article
"Singh J., Pagulayan A., Camley B.A., Nain A.S.",Rules of contact inhibition of locomotion for cells on suspended nanofibers,,,2021,118,12,,,2,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Nakayama H., Yonenaga A., Sagara A., Ando Y., Kibe S., Takesue S., Abe T., Endo S., Koikawa K., Okumura T., Shido K., Miyoshi K., Nakata K., Moriyama T., Miyasaka Y., Inoue S., Ohtsuka T., Mizumoto K., Ohuchida K., Nakamura M.",S100P regulates the collective invasion of pancreatic cancer cells into the lymphatic endothelial monolayer,,,2019,55,1,211-222,,13,,International Journal of Oncology,Spandidos Publications,,,,,Article
"Sharma Y., Atia L., Rhodes C. S., DeCamp S. J., Mitchel J., Fredberg J. J.","Scaling physiologic function from cell to tissue in asthma, cancer, and development",,,2018,15,1,S35-S37,,1,,Annals of the American Thoracic Society,American Thoracic Society,Annals of the American Thoracic Society,1-Feb-18,USA,,Conference Paper
"Zajdel T.J., Shim G., Wang L., Rossello-Martinez A., Cohen D.J.",SCHEEPDOG: Programming Electric Cues to Dynamically Herd Large-Scale Cell Migration,,,2020,10,6,506-514,,11,,Cell Systems,Cell Press,,,,,Article
"Martinelli S., Riverso M., Mello T., Amore F., Parri M., Simeone I., Mannelli M., Maggi M., Rapizzi E.",SDHB and SDHD silenced pheochromocytoma spheroids respond differently to tumour microenvironment and their aggressiveness is inhibited by impairing stroma metabolism,,,2022,547,1,,,0,,Molecular and Cellular Endocrinology,Elsevier Ireland Ltd,,,,,Article
"Clark A.G., Maitra A., Jacques C., Bergert M., Pérez-González C., Simon A., Lederer L., Diz-Muñoz A., Trepat X., Voituriez R., Vignjevic D.M.",Self-generated gradients steer collective migration on viscoelastic collagen networks,,,2022,,,,,0,,Nature Materials,Nature Research,,,,,Article
"Itatani M., Nabika H.",Self-Propelled Motion of an Oil Droplet Containing a Phospholipid and its Stability in Collectivity,,,2022,10,1,,,0,,Frontiers in Physics,Frontiers Media S.A.,,,,,Article
"Thomas G.L., Fortuna I., Perrone G.C., Graner F., de Almeida R.M.C.",Shape–velocity correlation defines polarization in migrating cell simulations,,,2022,587,1,,,0,,Physica A: Statistical Mechanics and its Applications,Elsevier B.V.,,,,,Article
"Sadeghipour E., Garcia M. A., Nelson W. J., Pruitt B. L.",Shear-induced damped oscillations in an epithelium depend on actomyosin contraction and E-cadherin cell adhesion,,,2018,7,1,,,10,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Samassa F., Ferrari M.L., Husson J., Mikhailova A., Porat Z., Sidaner F., Brunner K., Teo T.-H., Frigimelica E., Tinevez J.-Y., Sansonetti P.J., Thoulouze M.-I., Phalipon A.",Shigella impairs human T lymphocyte responsiveness by hijacking actin cytoskeleton dynamics and T cell receptor vesicular trafficking,,,2020,22,5,,,2,,Cellular Microbiology,Blackwell Publishing Ltd,,,,,Article
"Urasaki A., Morishita S., Naka K., Uozumi M., Abe K., Huang L., Watase E., Nakagawa O., Kawakami K., Matsui T., Bessho Y., Inagaki N.",Shootins mediate collective cell migration and organogenesis of the zebrafish posterior lateral line system,,,2019,9,1,,,3,,Scientific Reports,Nature Publishing Group,,,,,Article
"Sun D., Lin G., He M., Lin X.",Silibinin and sanguinarine synergistically inhibit ovarian cancer development via provoking intense dna damage response,,,2020,39,2,341-347,,2,,Latin American Journal of Pharmacy,Colegio de Farmaceuticos de la Provincia de Buenos Aires,,,,,Article
"Jahan I., George E., Saxena N., Sen S.",Silver-Nanoparticle-Entrapped Soft GelMA Gels as Prospective Scaffolds for Wound Healing,,,2019,2,5,1802-1814,,17,,ACS Applied Bio Materials,American Chemical Society,,,,,Article
"Tabibian A., Ghaffari S., Vargas D.A., Van Oosterwyck H., Jones E.A.V.",Simulating flow induced migration in vascular remodelling,,,2020,16,44781,,,1,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Hamilton W.C., Stolarska M.A., Ismat A.",Simulation and in vivo experimentation predict AdamTS-A location of function during caudal visceral mesoderm migration in Drosophila,,,2022,,,,,0,,Developmental Dynamics,John Wiley and Sons Inc,,,,,Article
"Zou H., Yang Z., Chan Y.-S., Yeung S.-K.A., Alam M.K., Si T., Xu T., Yang M.",Single cell analysis of mechanical properties and EMT-related gene expression profiles in cancer fingers,,,2022,25,3,,,0,,iScience,Elsevier Inc.,,,,,Article
"Krüger T., Maus K., Kreß V., Meyer-Natus E., Engstler M.",Single-cell motile behaviour of Trypanosomabrucei in thin-layered fluid collectives,,,2021,44,3,,,1,,European Physical Journal E,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Lotto J., Drissler S., Cullum R., Wei W., Setty M., Bell E.M., Boutet S.C., Nowotschin S., Kuo Y.-Y., Garg V., Pe'er D., Church D.M., Hadjantonakis A.-K., Hoodless P.A.",Single-Cell Transcriptomics Reveals Early Emergence of Liver Parenchymal and Non-parenchymal Cell Lineages,,,2020,183,3,702-716,,15,,Cell,Cell Press,,,,,Article
"Mitchell C. B., Stehn J. R., O'Neill G. M.",Small molecule targeting of the actin associating protein tropomyosin Tpm3.1 increases neuroblastoma cell response to inhibition of Rac-mediated multicellular invasion,,,2018,75,7,307-317,,2,,Cytoskeleton,John Wiley and Sons Inc.,,,,,Article
"Li C.-F., Chen J.-Y., Ho Y.-H., Hsu W.-H., Wu L.-C., Lan H.-Y., Hsu D.S.-S., Tai S.-K., Chang Y.-C., Yang M.-H.",Snail-induced claudin-11 prompts collective migration for tumour progression,,,2019,21,2,251-262,,60,,Nature Cell Biology,Nature Publishing Group,,,,,Article
"Koorman T., Jansen K.A., Khalil A., Haughton P.D., Visser D., Rätze M.A.K., Haakma W.E., Sakalauskaitè G., van Diest P.J., de Rooij J., Derksen P.W.B.",Spatial collagen stiffening promotes collective breast cancer cell invasion by reinforcing extracellular matrix alignment,,,2022,41,17,2458-2469,,0,,Oncogene,Springer Nature,,,,,Article
"Bai Y., He C., Chu P., Long J., Li X., Fu X.",Spatial modulation of individual behaviors enables an ordered structure of diverse phenotypes during bacterial group migration,,,2021,10,1,,,3,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Surendran A., Plank M. J., Simpson M. J.",Spatial Moment Description of Birth–Death–Movement Processes Incorporating the Effects of Crowding and Obstacles,,,2018,80,11,2828-2855,,10,,Bulletin of Mathematical Biology,Springer New York LLC,,,,,Article
"Fu X., Kato S., Long J., Mattingly H. H., He C., Vural D. C., Zucker S. W., Emonet T.",Spatial self-organization resolves conflicts between individuality and collective migration,,,2018,9,1,,,39,,Nature Communications,Nature Publishing Group,,,,,Article
"Sampedro M.F., Miño G.L., Galetto C.D., Sigot V.",Spatio-temporal analysis of collective migration in vivo by particle image velocimetry,,,2021,18,6,,,0,,Physical Biology,IOP Publishing Ltd,,,,,Article
"Holt J.R., Zeng W.-Z., Evans E.L., Woo S.-H., Ma S., Abuwarda H., Loud M., Patapoutian A., Pathak M.M.",Spatiotemporal dynamics of piezo1 localization controls keratinocyte migration during wound healing,,,2021,10,1,,,8,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Yu J., Cai P., Zhang X., Zhao T., Liang L., Zhang S., Liu H., Chen X.",Spatiotemporal Oscillation in Confined Epithelial Motion upon Fluid-to-Solid Transition,,,2021,15,4,7618-7627,,2,,ACS Nano,American Chemical Society,,,,,Article
"Gan T., Yang Y., Hao J., Liao Z., Zhu X.",Speeding up Collective Cell Migration Using Deep Reinforcement Learning,,,2019,,,1277-1280,,1,"Schmidt H., Griol D., Wang H., Baumbach J., Zheng H., Callejas Z., Hu X., Dickerson J., Zhang L.","Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",Institute of Electrical and Electronics Engineers Inc.,IEEE International Conference on Bioinformatics and Biomedicine,3-Dec-18,"Madrid, Spain",9781538654880,Conference Paper
"Beaune G., Blanch-Mercader C., Douezan S., Dumond J., Gonzalez-Rodriguez D., Cuvelier D., Ondarçuhu T., Sens P., Dufour S., Murrell M.P., Brochard-Wyart F.",Spontaneous migration of cellular aggregates from giant keratocytes to running spheroids,,,2018,115,51,12926-12931,,12,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Campo M., Schnyder S.K., Molina J.J., Speck T., Yamamoto R.",Spontaneous spatiotemporal ordering of shape oscillations enhances cell migration,,,2019,15,24,4939-4946,,3,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Carstens J.L., Yang S., Correa de Sampaio P., Zheng X., Barua S., McAndrews K.M., Rao A., Burks J.K., Rhim A.D., Kalluri R.",Stabilized epithelial phenotype of cancer cells in primary tumors leads to increased colonization of liver metastasis in pancreatic cancer,,,2021,35,2,,,10,,Cell Reports,Elsevier B.V.,,,,,Article
"Porta C.A.M.L., Zapperi S.",Statistical Features of Collective Cell Migration,Cell Migrations: Causes and Functions,Cham,2019,1146,1,67-78,,0,"La Porta C. A. M., Zapperi S.",Advances in Experimental Medicine and Biology,Springer New York LLC,,,,,Book Chapter
"Bezeljak U., Loya H., Kaczmarek B., Saunders T.E., Loose M.",Stochastic activation and bistability in a Rab GTPase regulatory network,,,2020,117,12,6504-6549,,7,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Gavagnin E., Yates C. A.",Stochastic and Deterministic Modeling of Cell Migration,Handbook of Statistics,,2018,39,1,37-91,,5,Srinivasa Rao A.S.R.Rao C.R.,Handbook of Statistics,Elsevier B.V.,,,,9780444640727,Book Chapter
"Pal A., Curtin J.F., Kinsella G.K.",Structure based prediction of a novel GPR120 antagonist based on pharmacophore screening and molecular dynamics simulations,,,2021,19,1,6050-6063,,3,,Computational and Structural Biotechnology Journal,Elsevier B.V.,,,,,Article
"Mezzena R., Masciullo C., Antonini S., Cremisi F., Scheffner M., Cecchini M., Tonazzini I.",Study of adhesion and migration dynamics in ubiquitin E3A ligase (UBE3A)-silenced SYSH5Y neuroblastoma cells by micro-structured surfaces,,,2021,32,2,,,0,,Nanotechnology,IOP Publishing Ltd,,,,,Article
"Kim M., Jang H., Park Y.",Study on the expansion dynamics of mdck epithelium by interstitial flow using a traction force-measurable microfluidic chip,,,2021,14,4,44575,,0,,Materials,MDPI AG,,,,,Article
"Mohammed D., Charras G., Vercruysse E., Versaevel M., Lantoine J., Alaimo L., Bruyère C., Luciano M., Glinel K., Delhaye G., Théodoly O., Gabriele S.",Substrate area confinement is a key determinant of cell velocity in collective migration,,,2019,15,8,858-866,,24,,Nature Physics,Nature Publishing Group,,,,,Article
"Zhou C., Zhang D., Du W., Zou J., Li X., Xie J.",Substrate mechanics dictate cell-cell communication by gap junctions in stem cells from human apical papilla,,,2020,107,1,178-193,,20,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Wang H., Guo X., Wang X., Wang X., Chen J.",Supracellular Actomyosin Mediates Cell-Cell Communication and Shapes Collective Migratory Morphology,,,2020,23,6,,,3,,iScience,Elsevier Inc.,,,,,Article
"Shellard A., Szabó A., Trepat X., Mayor R.",Supracellular contraction at the rear of neural crest cell groups drives collective chemotaxis,,,2018,362,6412,339-343,,58,,Science,American Association for the Advancement of Science,,,,,Article
"Bernadskaya Y.Y., Yue H., Copos C., Christiaen L., Mogilner A.",Supracellular organization confers directionality and mechanical potency to migrating pairs of cardiopharyngeal progenitor cells,,,2021,10,1,,,1,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Zhang D., Yao Y., Duan Y., Yu X., Shi H., Nakkala J.R., Zuo X., Hong L., Mao Z., Gao C.","Surface-Anchored Graphene Oxide Nanosheets on Cell-Scale Micropatterned Poly(d, l -lactide- co-caprolactone) Conduits Promote Peripheral Nerve Regeneration",,,2020,,,,,29,,ACS Applied Materials and Interfaces,American Chemical Society,,,,,Article
"Peyret G., Mueller R., d'Alessandro J., Begnaud S., Marcq P., Mège R.-M., Yeomans J.M., Doostmohammadi A., Ladoux B.",Sustained Oscillations of Epithelial Cell Sheets,,,2019,117,3,464-478,,39,,Biophysical Journal,Biophysical Society,,,,,Article
"Deng Z., Mou F., Tang S., Xu L., Luo M., Guan J.",Swarming and collective migration of micromotors under near infrared light,,,2018,13,1,45-53,,59,,Applied Materials Today,Elsevier Ltd,,,,,Article
"Grobas I., Polin M., Asally M.",Swarming bacteria undergo localized dynamic phase transition to form stress-induced biofilms,,,2021,10,1,,,5,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Rey-Barroso J., Calovi D. S., Combe M., German Y., Moreau M., Canivet A., Wang X., Sire C., Theraulaz G., Dupré L.",Switching between individual and collective motility in B lymphocytes is controlled by cell-matrix adhesion and inter-cellular interactions,,,2018,8,1,,,13,,Scientific Reports,Nature Publishing Group,,,,,Article
"Park J.S., Kim D.-H., Shah S.R., Kim H.-N., Kshitiz, Kim P., Quiñones-Hinojosa A., Levchenko A.",Switch-like enhancement of epithelial-mesenchymal transition by YAP through feedback regulation of WT1 and Rho-family GTPases,,,2019,10,1,,,52,,Nature Communications,Nature Publishing Group,,,,,Article
"Shen W., Chen H., Wu M., Zhang T., Zhu L., Zhao Y.","Synthesis, Cytotoxicity, Anti-Migration and Anti-Invasion Activity of Diphyllin Heterocyclic Derivatives",,,2022,18,1,122-129,,1,,Medicinal Chemistry,Bentham Science Publishers,,,,,Article
"Iordanidou C., Tsave O., Gabriel C., Hatzidimitriou A., Salifoglou A.",Synthetic exploration of the binary cadmium-quinic acid system linked to in vitro cytotoxicity and chelation cytoprotection investigation,,,2018,482,1,364-374,,1,,Inorganica Chimica Acta,Elsevier S.A.,,,,,Article
"Tsave O., Gabriel C., Kafantari M., Yavropoulou M., Yovos J. G., Raptopoulou C. P., Psycharis V., Terzis A., Mateescu C., Salifoglou A.",Synthetic investigation of binary-ternary Cr(III)-hydroxycarboxylic acid-aromatic chelator systems. Structure-specific influence on adipogenic biomarkers linked to insulin mimesis,,,2018,184,1,50-68,,3,,Journal of Inorganic Biochemistry,Elsevier Inc.,,,,,Article
"Yamazaki S.-I., Hashimura H., Morimoto Y.V., Miyanaga Y., Matsuoka S., Kamimura Y., Ueda M.",Talin B regulates collective cell migration via PI3K signaling in Dictyostelium discoideum mounds,,,2020,525,2,372-377,,2,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Markey M., Vazquez M.",Targeting collective behaviors of transplanted retinal cells as a strategy to improve cellular integration,,,2022,17,6,1271-1272,,0,,Neural Regeneration Research,Wolters Kluwer Medknow Publications,,,,,Article
"Dong Y., Long J., Luo X., Xie G., Xiao Z.-X.J., Tong Y.",Targeting of ΔNp63α by miR-522 promotes the migration of breast epithelial cells,,,2021,11,2,468-481,,0,,FEBS Open Bio,Wiley Blackwell,,,,,Article
"Wu S., Zhang D., Bai J., Du W., Duan Y., Liu Y., Zou X., Ouyang H., Gao C.",Temperature-Gating Titania Nanotubes Regulate Migration of Endothelial Cells,,,2019,11,1,1254-1266,,2,,ACS Applied Materials and Interfaces,American Chemical Society,,,,,Article
"Wang X., Wang H., Liu L., Li S., Emery G., Chen J.",Temporal Coordination of Collective Migration and Lumen Formation by Antagonism between Two Nuclear Receptors,,,2020,23,7,,,2,,iScience,Elsevier Inc.,,,,,Article
"Kasorn A., Loison F., Kangsamaksin T., Jongrungruangchok S., Ponglikitmongkol M.",Terrein inhibits migration of human breast cancer cells via inhibition of the Rho and Rac signaling pathways,,,2018,39,3,1378-1386,,11,,Oncology Reports,Spandidos Publications,,,,,Article
"Huang C., Hays F.A., Tomasek J.J., Benyajati S., Zhang X.A.",Tetraspanin CD82 interaction with cholesterol promotes extracellular vesicle–mediated release of ezrin to inhibit tumour cell movement,,,2020,9,1,,,12,,Journal of Extracellular Vesicles,Taylor and Francis Ltd.,,,,,Article
"Marsay K.S., Greaves S., Mahabaleshwar H., Ho C.M., Roehl H., Monk P.N., Carney T.J., Partridge L.J.",Tetraspanin Cd9b and Cxcl12a/Cxcr4b have a synergistic effect on the control of collective cell migration,,,2021,16,11,,,0,,PLoS ONE,Public Library of Science,,,,,Article
"Jin S., Gao J., Qi Y., Hao Y., Li X., Liu Q., Liu J., Liu D., Zhu L., Lin B.",TGF-β1 fucosylation enhances the autophagy and mitophagy via PI3K/Akt and Ras-Raf-MEK-ERK in ovarian carcinoma,,,2020,524,4,970-976,,12,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Zeledon C., Sun X., Plutoni C., Emery G.",The ArfGAP Drongo Promotes Actomyosin Contractility during Collective Cell Migration by Releasing Myosin Phosphatase from the Trailing Edge,,,2019,28,12,3238-3248,,3,,Cell Reports,Elsevier B.V.,,,,,Article
Pajic-Lijakovic I.,The basic concept of viscoelasticity,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,21-46,2,2,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Saraiva J.E., Barriga E.H.",The basics of collective cell migration: Unity makes strength,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,44580,1,0,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Chittor A., Gibbs K.A.",The Conserved Serine Transporter SdaC Moonlights to Enable Self Recognition,,,2022,204,1,,,0,,Journal of Bacteriology,American Society for Microbiology,,,,,Article
"Ghiglione C., Jouandin P., Cérézo D., Noselli S.",The drosophila insulin pathway controls profilin expression and dynamic actin-rich protrusions during collective cell migration,,,2018,145,14,,,7,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Biondo M., Panuzzo C., Ali S.M., Bozzaro S., Osella M., Bracco E., Pergolizzi B.",The Dynamics of Aerotaxis in a Simple Eukaryotic Model,,,2021,9,1,,,2,,Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,,,,,Article
"Miles R.R., Amin P.H., Diaz M.B., Misra J., Aukerman E., Das A., Ghosh N., Guith T., Knierman M.D., Roy S., Spandau D.F., Wek R.C.",The eIF2 kinase GCN2 directs keratinocyte collective cell migration during wound healing via coordination of reactive oxygen species and amino acids,,,2021,297,5,,,0,,Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology Inc.,,,,,Article
"Wilson A., Williams T., Sfakianakis N.",The First Step Towards the Mathematical Understanding of the Role of Matrix Metalloproteinase-8 in Cancer Invasion,,,2021,370,1,173-192,,0,"Suzuki T., Poignard C., Chaplain M., Quaranta V.",Springer Proceedings in Mathematics and Statistics,Springer,International Symposium on Fusion of Mathematics and Biology,26-Oct-20,"Osaka, Japan",9789811648656,Conference Paper
"Jafari S., Farsani F.M., Ganji M., Ganjalikhany M.R.",The functional regulatory details of ERK2 in complex with RSK1: anin silicoinsight,,,2021,11,19,11048-11056,,1,,RSC Advances,Royal Society of Chemistry,,,,,Article
"Buggert M., Vella L.A., Nguyen S., Wu V.H., Chen Z., Sekine T., Perez-Potti A., Maldini C.R., Manne S., Darko S., Ransier A., Kuri-Cervantes L., Japp A.S., Brody I.B., Ivarsson M.A., Gorin J.-B., Rivera-Ballesteros O., Hertwig L., Antel J.P., Johnson M.E., Okoye A., Picker L., Vahedi G., Sparrelid E., Llewellyn-Lacey S., Gostick E., Sandberg J.K., Björkström N., Bar-Or A., Dori Y., Naji A., Canaday D.H., Laufer T.M., Wells A.D., Price D.A., Frank I., Douek D.C., Wherry E.J., Itkin M.G., Betts M.R.",The Identity of Human Tissue-Emigrant CD8+ T Cells,,,2020,183,7,1946-1961,,20,,Cell,Cell Press,,,,,Article
"Metsiou D.N., Siatis K.E., Giannopoulou E., Papachristou D.J., Kalofonos H.P., Koutras A., Athanassiou G.",The Impact of Anti-tumor Agents on ER-Positive MCF-7 and HER2-Positive SKBR-3 Breast Cancer Cells Biomechanics,,,2019,47,8,1711-1724,,6,,Annals of Biomedical Engineering,Springer New York LLC,,,,,Article
"Bajpai A., Tong J., Qian W., Peng Y., Chen W.",The Interplay Between Cell-Cell and Cell-Matrix Forces Regulates Cell Migration Dynamics,,,2019,117,10,1795-1804,,8,,Biophysical Journal,Biophysical Society,,,,,Article
"Gavagnin E., Ford M.J., Mort R.L., Rogers T., Yates C.A.",The invasion speed of cell migration models with realistic cell cycle time distributions,,,2019,481,1,91-99,,7,,Journal of Theoretical Biology,Academic Press,,,,,Article
"Hatzold J., Wessendorf H., Pogoda H.-M., Bloch W., Hammerschmidt M.","The Kunitz-type serine protease inhibitor Spint2 is required for cellular cohesion, coordinated cell migration and cell survival during zebrafish hatching gland development",,,2021,476,1,148-170,,0,,Developmental Biology,Elsevier Inc.,,,,,Article
"Saénz-de-Santa-María I., Celada L., Chiara M.-D.",The Leader Position of Mesenchymal Cells Expressing N-Cadherin in the Collective Migration of Epithelial Cancer,,,2020,9,3,,,8,,Cells,NLM (Medline),,,,,Article
"Denis K.B., Cabe J.I., Danielsson B.E., Tieu K.V., Mayer C.R., Conway D.E.",The LINC complex is required for endothelial cell adhesion and adaptation to shear stress and cyclic stretch,,,2021,32,18,1654-1663,,3,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Flórido A., Saraiva N., Cerqueira S., Almeida N., Parsons M., Batinic-Haberle I., Miranda J.P., Costa J.G., Carrara G., Castro M., Oliveira N.G., Fernandes A.S.",The manganese(III) porphyrin MnTnHex-2-PyP 5+ modulates intracellular ROS and breast cancer cell migration: Impact on doxorubicin-treated cells,,,2019,20,1,367-378,,28,,Redox Biology,Elsevier B.V.,,,,,Article
"Hou F., Li D., Yu H., Kong Q.",The mechanism and potential targets of class II HDACs in angiogenesis,,,2018,119,4,2999-3006,,3,,Journal of Cellular Biochemistry,Wiley-Liss Inc.,,,,,Article
"Thomas E.D., Raible D.W.",The mechanosensory lateral line system,"The Zebrafish in Biomedical Research: Biology, Husbandry, Diseases, and Research Applications",,2019,,,245-253,22,1,"Cartner S.C., Eisen J.S., Farmer S.C., Guillemin K.J., Kent M.L., Sanders G.E.","The Zebrafish in Biomedical Research: Biology, Husbandry, Diseases, and Research Applications",Elsevier,,,,9780128124314; 9780128124321,Book Chapter
"Pierzchalska M., Panek M., Grabacka M.",The migration and fusion events related to ROCK activity strongly influence the morphology of chicken embryo intestinal organoids,,,2019,256,2,575-581,,6,,Protoplasma,Springer-Verlag Wien,,,,,Article
"Jensen H.H., Pedersen G.A., Morgen J.J., Parsons M., Pedersen S.F., Nejsum L.N.",The Na + /H + exchanger NHE1 localizes as clusters to cryptic lamellipodia and accelerates collective epithelial cell migration,,,2019,597,3,849-867,,12,,Journal of Physiology,Blackwell Publishing Ltd,,,,,Article
"Gesualdi L., Leonetti E., Cucina A., Scicchitano B.M., Sorrentino S., Tarsitano M.G., Isidori A., Bizzarri M., Filippini A., Riccioli A., Cammarota M., Gigantino V., Ricci G., Catizone A.",The PI3K/AKT pathway is activated by HGF in NT2D1 non‐seminoma cells and has a role in the modulation of their malignant behavior,,,2020,21,22,44583,,1,,International Journal of Molecular Sciences,MDPI AG,,,,,Article
"Luo J., Zhou P., Guo X., Wang D., Chen J.",The polarity protein Dlg5 regulates collective cell migration during Drosophila oogenesis,,,2019,14,12,,,1,,PLoS ONE,Public Library of Science,,,,,Article
"Meyer F.A.H., Kraus D., Glassmann A., Veit N., Winter J., Probstmeier R.",The presence of yin‐yang effects in the migration pattern of staurosporine‐treated single versus collective breast carcinoma cells,,,2021,22,21,,,0,,International Journal of Molecular Sciences,MDPI,,,,,Article
"Chen S., Liu M., Huang H., Zhang Z., Li B., Feng X.-Q., Zhao H.-P.",The relation between the collective motility and shapes of human cancer cells under heat stress,,,2020,116,4,,,1,,Applied Physics Letters,American Institute of Physics Inc.,,,,,Article
